ID	log2(fold change)	-log10(Pvalue)
A_23_P54918	-0.193	4.679
A_23_P55251	-0.155	3.253
A_23_P55936	-0.091	3.176
A_23_P56127	0.097	3.128
A_23_P56833	0.061	2.851
A_23_P57417	0.089	2.616
A_23_P57658	-0.086	3.278
A_23_P58046	0.166	2.821
A_23_P58353	0.059	2.657
A_23_P58529	-0.068	2.729
A_23_P60354	0.15	2.875
A_23_P60499	0.076	3.201
A_23_P60579	-0.075	3.163
A_23_P61031	-0.142	3.159
A_23_P61406	-0.191	3.49
A_23_P61447	-0.086	3.287
A_23_P62115	-0.159	2.703
A_23_P62999	0.127	3.793
A_23_P63829	0.069	2.735
A_23_P64232	-0.086	3.268
A_23_P64404	-0.14	3.155
A_23_P64611	-0.175	2.96
A_23_P64898	0.081	3.2
A_23_P64990	-0.158	3.445
A_23_P65157	-0.068	2.927
A_23_P65797	0.075	2.714
A_23_P65830	-0.081	3.179
A_23_P66011	-0.107	3.46
A_23_P66432	-0.136	2.697
A_23_P66719	-0.094	3.799
A_23_P67198	0.086	3.436
A_23_P67271	-0.106	3.335
A_23_P68998	-0.131	2.889
A_23_P69586	-0.158	3.03
A_23_P69908	0.059	2.696
A_23_P71319	-0.074	3.199
A_23_P73170	0.102	2.589
A_23_P73763	-0.066	2.61
A_23_P75149	-0.109	3.61
A_23_P76622	0.127	2.63
A_23_P76761	0.081	2.787
A_23_P76882	-0.084	2.788
A_23_P77073	-0.07	2.593
A_23_P77328	-0.125	3.272
A_23_P77776	0.092	3.319
A_23_P77859	0.091	2.737
A_23_P77918	0.091	2.588
A_23_P78438	-0.064	3.056
A_23_P78762	-0.228	5.357
A_23_P78782	0.056	2.606
A_23_P78944	0.303	3.89
A_23_P79069	-0.119	2.872
A_23_P79155	0.411	3.968
A_23_P79231	0.128	4.266
A_23_P79661	-0.064	2.715
A_23_P80242	-0.183	2.838
A_23_P80718	0.17	4.605
A_23_P81158	0.222	3.693
A_23_P81463	0.089	2.781
A_23_P819	-0.127	3.973
A_23_P82651	-0.147	3.628
A_23_P83045	0.063	2.822
A_23_P83134	-0.168	2.707
A_23_P84118	0.201	3.053
A_23_P84576	0.17	2.882
A_23_P84629	-0.057	2.604
A_23_P8561	0.061	2.62
A_23_P8571	-0.086	2.771
A_23_P85783	0.123	3.577
A_23_P85969	0.12	2.6
A_23_P86330	0.074	3.051
A_23_P86504	0.073	2.76
A_23_P86710	0.203	2.938
A_23_P86731	-0.098	3.125
A_23_P87310	0.177	3.491
A_23_P87500	-0.053	2.688
A_23_P88046	0.069	2.617
A_23_P88602	0.115	2.797
A_23_P88904	-0.06	2.639
A_23_P89302	-0.44	3.911
A_23_P90296	0.062	2.603
A_23_P91076	0.119	4.315
A_23_P91350	-0.077	2.628
A_23_P91552	0.167	3.4
A_23_P91657	0.13	3.42
A_23_P92687	-0.077	3.067
A_23_P92999	0.293	3.445
A_23_P94517	0.198	2.662
A_23_P94591	-0.069	2.959
A_23_P94736	-0.106	2.595
A_23_P94819	-0.068	2.78
A_23_P94911	0.069	2.81
A_23_P95453	0.101	3.276
A_23_P96369	-0.161	4.051
A_23_P96599	0.119	2.797
A_23_P97700	0.317	4.621
A_23_P98261	-0.075	2.992
A_23_P9875	0.166	3.676
A_23_P99785	0.133	2.638
A_24_P110284	0.273	2.904
A_24_P110799	-0.107	2.784
A_24_P113221	0.067	2.974
A_24_P113264	-0.229	3.902
A_24_P11506	0.177	2.626
A_24_P117029	-0.055	2.735
A_24_P120346	-0.085	3.041
A_24_P122682	-0.103	2.734
A_24_P122921	-0.088	2.944
A_24_P130363	-0.289	3.61
A_24_P135769	0.124	3.295
A_24_P137522	0.087	2.841
A_24_P142151	-0.125	3.387
A_24_P142743	-0.231	4.043
A_24_P147765	-0.065	2.906
A_24_P148811	0.092	3.006
A_24_P150931	0.14	4.267
A_24_P156267	0.134	3.01
A_24_P157926	-0.314	3.898
A_24_P159635	0.143	3.432
A_24_P163405	0.067	2.902
A_24_P16559	0.156	2.764
A_24_P166613	-0.149	3.408
A_24_P169048	-0.084	3.101
A_24_P169073	-0.135	3.459
A_24_P170763	-0.058	2.731
A_24_P181672	-0.114	3.268
A_24_P182281	-0.125	3.381
A_24_P185029	0.067	2.703
A_24_P189533	-0.141	4.259
A_24_P189997	-0.072	2.604
A_24_P19175	-0.075	2.972
A_24_P19228	-0.071	3.031
A_24_P192301	0.124	3.283
A_24_P194154	0.11	3.667
A_24_P196117	-0.112	3.388
A_24_P207479	0.056	2.672
A_24_P212811	0.128	2.655
A_24_P217306	0.094	2.984
A_24_P217330	-0.086	2.946
A_24_P217758	0.071	2.587
A_24_P218814	0.203	3.957
A_24_P218970	-0.064	2.817
A_24_P224966	-0.227	4.974
A_24_P226332	0.168	2.637
A_24_P228667	-0.053	2.641
A_24_P228717	-0.116	2.675
A_24_P230938	-0.073	2.837
A_24_P234732	0.089	3.026
A_24_P235429	0.096	2.848
A_24_P237586	-0.157	3.736
A_24_P241057	0.207	2.892
A_24_P246091	-0.133	3.715
A_24_P246173	-0.092	3.05
A_24_P246351	-0.069	2.834
A_24_P248053	-0.081	2.823
A_24_P257336	0.242	2.759
A_24_P259154	0.099	3.26
A_24_P260443	-0.12	3.701
A_24_P268196	-0.078	2.605
A_24_P269062	-0.141	3.501
A_24_P270033	0.222	2.77
A_24_P273143	-0.293	3.112
A_24_P277657	-0.095	2.666
A_24_P283288	-0.117	2.685
A_24_P284805	-0.086	3.346
A_24_P286527	0.105	3.047
A_24_P287075	-0.146	3.85
A_24_P289170	-0.08	2.745
A_24_P291401	-0.06	2.936
A_24_P295806	-0.077	3.121
A_24_P29686	-0.06	2.738
A_24_P296907	-0.106	3.742
A_24_P299318	0.152	2.673
A_24_P299423	-0.097	2.665
A_24_P306720	-0.109	3.317
A_24_P307014	0.059	2.614
A_24_P309095	0.168	3.881
A_24_P310630	0.09	2.934
A_24_P314179	0.114	2.879
A_24_P322229	-0.108	3.867
A_24_P322847	0.055	2.627
A_24_P324640	-0.055	2.757
A_24_P327050	-0.079	3.255
A_24_P331560	0.139	2.64
A_24_P333567	-0.082	2.692
A_24_P336551	-0.153	4.627
A_24_P336705	-0.103	3.635
A_24_P342829	-0.175	3.359
A_24_P346431	0.095	3.69
A_24_P349616	0.141	3.982
A_24_P353905	-0.118	2.65
A_24_P359322	-0.147	3.552
A_24_P360078	0.098	3.483
A_24_P362540	-0.078	3.076
A_24_P365679	-0.115	3.026
A_24_P369694	-0.097	3.361
A_24_P374943	0.083	2.751
A_24_P376787	-0.097	3.218
A_24_P379104	0.119	3.662
A_24_P381441	0.302	3.404
A_24_P383581	-0.094	3.527
A_24_P383762	-0.1	3.213
A_24_P386622	-0.103	2.883
A_24_P388810	0.07	2.822
A_24_P389959	-0.058	2.652
A_24_P390833	-0.08	3.458
A_24_P390928	0.108	3.543
A_24_P391526	0.061	2.84
A_24_P397107	0.131	2.779
A_24_P398810	0.151	3.975
A_24_P399083	0.161	3.053
A_24_P404033	-0.122	2.744
A_24_P4054	-0.088	2.75
A_24_P408740	-0.073	2.832
A_24_P412976	-0.065	3.078
A_24_P415150	-0.295	2.997
A_24_P415624	-0.091	2.796
A_24_P43723	0.225	3.115
A_24_P44931	-0.065	2.82
A_24_P47182	-0.065	3.057
A_24_P495367	0.178	2.794
A_24_P50458	0.091	3.501
A_24_P58054	0.1	2.655
A_24_P602871	-0.114	3.473
A_24_P606538	0.125	2.883
A_24_P6125	-0.075	3.032
A_24_P62237	-0.08	2.598
A_24_P62783	-0.384	4.595
A_24_P649388	-0.081	2.65
A_24_P655849	0.073	2.828
A_24_P67929	0.057	2.613
A_24_P69691	-0.096	3.201
A_24_P701030	-0.112	3.601
A_24_P73075	-0.056	2.616
A_24_P734953	-0.078	3.42
A_24_P74508	0.152	2.642
A_24_P7584	0.287	5.022
A_24_P784765	0.137	4.431
A_24_P807031	-0.115	2.849
A_24_P832156	-0.063	2.72
A_24_P842006	0.168	3.22
A_24_P88696	-0.108	3.226
A_24_P892472	0.081	2.696
A_24_P90900	-0.09	2.661
A_24_P911906	0.131	2.81
A_24_P912048	0.179	3.071
A_24_P928969	0.238	3.14
A_24_P93703	0.063	2.8
A_24_P940125	0.064	2.625
A_24_P940135	-0.104	3.393
A_24_P941188	-0.058	2.734
A_24_P942493	-0.227	3.469
A_24_P943815	0.172	2.816
A_24_P96897	0.188	2.698
A_32_P107493	0.069	2.811
A_32_P119248	0.16	3.399
A_32_P122793	0.11	2.757
A_32_P129862	0.252	3.75
A_32_P129894	0.075	3.205
A_32_P130788	-0.075	2.595
A_32_P131143	-0.219	4.313
A_32_P133916	0.133	2.726
A_32_P136351	0.11	3.434
A_32_P143880	-0.081	2.966
A_32_P144421	0.079	2.615
A_32_P147622	-0.083	2.886
A_32_P148824	0.068	2.713
A_32_P150030	0.07	3.276
A_32_P152195	-0.146	3.835
A_32_P154021	0.12	3.071
A_32_P155666	-0.204	4.451
A_32_P160563	0.369	2.875
A_32_P16918	0.25	3.526
A_32_P1701	0.1	3.158
A_32_P177097	0.082	3.471
A_32_P177955	-0.165	3.291
A_32_P179998	-0.118	2.622
A_32_P181297	-0.06	2.674
A_32_P183367	0.091	2.872
A_32_P189413	0.173	2.879
A_32_P196193	0.121	4.209
A_32_P196263	-0.108	3.058
A_32_P218332	-0.062	2.904
A_32_P219279	-0.155	3.812
A_32_P220750	0.1	3.086
A_32_P221452	0.081	2.608
A_32_P229132	0.185	3.239
A_32_P29118	0.141	2.672
A_32_P316136	0.109	3.319
A_32_P352697	0.134	3.114
A_32_P37495	-0.3	4.072
A_32_P407245	0.233	4.5
A_32_P42964	-0.173	3.294
A_32_P46214	0.113	3.376
A_32_P47754	-0.067	2.881
A_32_P499005	0.243	5.759
